model,query_variant_strategy,video_id,event,gt_time,subjectivity,top1_query_variant,top1_time,top1_score,top1_iou,best_iou_at_k
CG-DETR,cleaned,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:05 - 00:19,0.9925,0.0,0.0729306177742888
CG-DETR,cleaned,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The man, identified as Dave Campbell, provides information about GMC certified service",00:29 - 01:02,0.9699,0.0,0.6589555555555555
CG-DETR,cleaned,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:19,0.987,0.20628922258802349,0.20628922258802349
CG-DETR,cleaned,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:30 - 00:46,0.9905,0.0,0.4665049449524161
CG-DETR,cleaned,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:46 - 00:59,0.9956,0.0,0.0
CG-DETR,cleaned,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video emphasizes the importance of rotating tires every 7,500 miles",00:34 - 00:58,0.9916,0.20621022720242838,0.20621022720242838
CG-DETR,find_moment,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"Find the moment showing a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:04 - 00:19,0.9919,0.0,0.06833152089482679
CG-DETR,find_moment,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"Find the moment showing the man, identified as Dave Campbell, provides information about GMC certified service",00:34 - 00:59,0.9975,0.0,0.10785
CG-DETR,find_moment,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"Find the moment showing a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:19,0.9781,0.2049624730469398,0.2049624730469398
CG-DETR,find_moment,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"Find the moment showing a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:31 - 00:47,0.9873,0.0,0.5131187356754344
CG-DETR,find_moment,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"Find the moment showing a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:46 - 00:59,0.9899,0.0,0.0
CG-DETR,find_moment,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"Find the moment showing the video emphasizes the importance of rotating tires every 7,500 miles",01:08 - 01:17,0.9853,0.0,0.20863759649488842
CG-DETR,raw_vlm,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:05 - 00:19,0.9926,0.0,0.07262817422675608
CG-DETR,raw_vlm,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The man, identified as Dave Campbell, provides information about GMC certified service",00:29 - 01:02,0.9699,0.0,0.6589555555555555
CG-DETR,raw_vlm,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:19,0.9794,0.2046469740634006,0.2046469740634006
CG-DETR,raw_vlm,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:30 - 00:46,0.9917,0.0,0.4951720722951218
CG-DETR,raw_vlm,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",01:08 - 01:17,0.9891,0.0,0.015199683590249521
CG-DETR,raw_vlm,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video emphasizes the importance of rotating tires every 7,500 miles",00:34 - 00:58,0.9916,0.20621022720242838,0.20621022720242838
CG-DETR,screen_text,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,screen text GMC Certified Service gmccertifiedservice.com,00:32 - 00:58,0.9907,0.0,0.6258214733477532
CG-DETR,screen_text,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,The man,00:44 - 00:59,0.9994,0.0,0.0
CG-DETR,screen_text,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,screen text GMC Certified Service Replacing Your Tires,00:32 - 00:57,0.9724,0.0,0.41326583324723626
CG-DETR,screen_text,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,screen text GMC Certified Service,00:33 - 00:58,0.9929,0.0,0.47134238310708776
CG-DETR,screen_text,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,a close-up of a tire being rotated,00:46 - 00:59,0.9949,0.0,0.0
CG-DETR,screen_text,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,The video emphasizes the importance of rotating tires every 7,00:35 - 00:58,0.9905,0.21545687630620733,0.21545687630620733
CG-DETR,short_action,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,a man in a white shirt standing in front of a dark blue background with a GMC truck,00:07 - 00:19,0.992,0.0,0.08027434000064661
CG-DETR,short_action,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,The man,00:44 - 00:59,0.9994,0.0,0.0
CG-DETR,short_action,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:19,0.987,0.20628922258802349,0.20628922258802349
CG-DETR,short_action,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:30 - 00:46,0.9905,0.0,0.4665049449524161
CG-DETR,short_action,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,a close-up of a tire being rotated,00:46 - 00:59,0.9949,0.0,0.0
CG-DETR,short_action,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,The video emphasizes the importance of rotating tires every 7,00:35 - 00:58,0.9905,0.21545687630620733,0.21545687630620733
CG-DETR,the_video_shows,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"The video shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",00:04 - 00:19,0.9923,0.0,0.06886152692271628
CG-DETR,the_video_shows,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The video shows the man, identified as Dave Campbell, provides information about GMC certified service",00:00 - 00:19,0.8735,0.632854649108466,0.632854649108466
CG-DETR,the_video_shows,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"The video shows a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:19,0.9722,0.20110877265027463,0.20110877265027463
CG-DETR,the_video_shows,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"The video shows a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:31 - 00:46,0.9915,0.0,0.5520998196473917
CG-DETR,the_video_shows,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"The video shows a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",01:08 - 01:17,0.9885,0.0,0.0
CG-DETR,the_video_shows,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video shows the video emphasizes the importance of rotating tires every 7,500 miles",01:08 - 01:17,0.9885,0.0,0.20711480788030423
Moment-DETR,cleaned,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:21 - 01:39,0.9991,0.27417992783584305,0.27417992783584305
Moment-DETR,cleaned,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The man, identified as Dave Campbell, provides information about GMC certified service",00:00 - 00:52,0.9985,0.2308495841821865,0.2308495841821865
Moment-DETR,cleaned,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:06 - 00:44,0.9978,0.0,0.0
Moment-DETR,cleaned,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:04 - 00:45,0.9959,0.0,0.7271845836868229
Moment-DETR,cleaned,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:48 - 01:02,0.9872,0.0,0.0
Moment-DETR,cleaned,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"The video emphasizes the importance of rotating tires every 7,500 miles",00:57 - 01:22,0.98,0.0,0.19814692991146793
Moment-DETR,find_moment,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"Find the moment showing a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:17 - 01:40,0.9977,0.21867961249972673,0.21867961249972673
Moment-DETR,find_moment,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"Find the moment showing the man, identified as Dave Campbell, provides information about GMC certified service",00:02 - 00:56,0.9943,0.22195505410154442,0.3248611111111111
Moment-DETR,find_moment,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"Find the moment showing a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:01 - 00:44,0.9974,0.07467144294408778,0.07467144294408778
Moment-DETR,find_moment,5,"The video concludes with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",01:47 - 01:50,1,"Find the moment showing a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires",00:00 - 00:17,0.9791,0.0,0.15805695318879898
Moment-DETR,find_moment,5,"The video continues with a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",00:21 - 00:37,1,"Find the moment showing a close-up of a tire being rotated, followed by a comparison of good and bad tire treads",01:05 - 01:19,0.9704,0.0,0.0
Moment-DETR,find_moment,5,"The video emphasizes the importance of rotating tires every 7,500 miles",00:38 - 00:43,1,"Find the moment showing the video emphasizes the importance of rotating tires every 7,500 miles",00:30 - 00:54,0.9835,0.21587082289957693,0.21587082289957693
Moment-DETR,raw_vlm,5,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:32 - 01:37,1,"The final segment shows a man in a white shirt standing in front of a dark blue background with a GMC truck, with the text ""GMC Certified Service"" and ""gmccertifiedservice.com"" appearing on the screen",01:18 - 01:39,0.9986,0.24293307679600423,0.24293307679600423
Moment-DETR,raw_vlm,5,"The man, identified as Dave Campbell, provides information about GMC certified service",00:06 - 00:18,1,"The man, identified as Dave Campbell, provides information about GMC certified service",00:00 - 00:52,0.9985,0.2308495841821865,0.2308495841821865
Moment-DETR,raw_vlm,5,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:00 - 00:04,1,"The video begins with a title screen displaying ""GMC Certified Service"" and ""Replacing Your Tires."" It transitions to a man in a white shirt with the GMC logo standing in front of a dark blue background with a GMC truck",00:03 - 00:45,0.9978,0.024241644617046334,0.024241644617046334
